,id,cidade,estado,data,precipitacao
297,3970,Curitiba,PR,2021-01-02,2.5
298,3980,Curitiba,PR,2021-01-03,6.5
299,3990,Curitiba,PR,2021-01-04,0.1
300,4000,Curitiba,PR,2021-01-05,0.2
301,4010,Curitiba,PR,2021-01-06,6.3
302,4020,Curitiba,PR,2021-01-07,0.9
303,4030,Curitiba,PR,2021-01-08,4.3
304,4040,Curitiba,PR,2021-01-09,11.1
305,4050,Curitiba,PR,2021-01-10,0.8
306,4060,Curitiba,PR,2021-01-11,2.0
307,4070,Curitiba,PR,2021-01-12,0.8
308,4080,Curitiba,PR,2021-01-13,0.2
309,4090,Curitiba,PR,2021-01-14,7.1
310,4100,Curitiba,PR,2021-01-15,1.4
311,4110,Curitiba,PR,2021-01-16,2.2
312,4120,Curitiba,PR,2021-01-17,4.6
313,4130,Curitiba,PR,2021-01-18,4.4
314,4140,Curitiba,PR,2021-01-19,51.6
315,4150,Curitiba,PR,2021-01-20,7.0
316,4160,Curitiba,PR,2021-01-21,2.2
317,4170,Curitiba,PR,2021-01-22,0.8
318,4180,Curitiba,PR,2021-01-23,0.4
319,4190,Curitiba,PR,2021-01-24,1.3
320,4200,Curitiba,PR,2021-01-25,2.5
321,4210,Curitiba,PR,2021-01-26,9.3
322,4220,Curitiba,PR,2021-01-27,8.0
323,4230,Curitiba,PR,2021-01-28,16.8
324,4240,Curitiba,PR,2021-01-29,13.0
325,4250,Curitiba,PR,2021-01-30,7.2
326,4260,Curitiba,PR,2021-01-31,0.4
327,4270,Curitiba,PR,2021-02-01,0.1
328,4280,Curitiba,PR,2021-02-02,1.1
329,4290,Curitiba,PR,2021-02-03,8.3
330,4300,Curitiba,PR,2021-02-04,0.2
331,4310,Curitiba,PR,2021-02-05,9.6
332,4320,Curitiba,PR,2021-02-06,0.0
333,4330,Curitiba,PR,2021-02-07,0.0
334,4340,Curitiba,PR,2021-02-08,0.0
335,4350,Curitiba,PR,2021-02-09,0.0
336,4360,Curitiba,PR,2021-02-10,0.0
337,4370,Curitiba,PR,2021-02-11,0.1
338,4380,Curitiba,PR,2021-02-12,7.3
339,4390,Curitiba,PR,2021-02-13,5.2
340,4400,Curitiba,PR,2021-02-14,3.3
341,4410,Curitiba,PR,2021-02-15,5.8
342,4420,Curitiba,PR,2021-02-16,3.1
